year,grid_id,central_lat,central_lon,total_flood_event,total_damages,primary_admin1,unique_locations,avg_duration,avg_damage_per_flood,event_summary
1991,28_95,28,95,1,,Arunachal Pradesh,Arunachal,1.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,30_57,30,57,1,55709.0,Kerman,Kerman,9.0,55709.0,"In 1991: 1 events (1 floods), total damages: 55709.0 ('000 US$)"
1991,37_70,37,70,1,,Takhar,Takhar province,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,35_-92,35,-92,2,,Arkansas,Arkansas,0.0,,"In 1991: 2 events (2 floods), total damages: N/A ('000 US$)"
1991,19_-96,19,-96,1,,Veracruz,Veracruz,10.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,-2_113,-2,113,1,,Kalimantan Tengah,Kalimatan province,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,50_44,50,44,1,3979240.0,Volgograd,Volgograd,0.0,3979240.0,"In 1991: 1 events (1 floods), total damages: 3979240.0 ('000 US$)"
1991,22_103,22,103,1,6367.0,Lai Chau,Lai Chau,3.0,6367.0,"In 1991: 1 events (1 floods), total damages: 6367.0 ('000 US$)"
1991,25_89,25,89,1,,Rajshahi,Rajskabi division,,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,37_71,37,71,1,119377.0,Badakhshan,Badakhstan,11.0,119377.0,"In 1991: 1 events (1 floods), total damages: 119377.0 ('000 US$)"
1991,-2_103,-2,103,1,29446.0,Jambi,Jambi,3.0,29446.0,"In 1991: 1 events (1 floods), total damages: 29446.0 ('000 US$)"
1991,24_95,24,95,1,158851.0,Sagaing,Sagaing,0.0,158851.0,"In 1991: 1 events (1 floods), total damages: 158851.0 ('000 US$)"
1991,25_92,25,92,1,,Sylhet,Sylhet district,12.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,19_73,19,73,1,198962.0,Maharashtra,Bombay,2.0,198962.0,"In 1991: 1 events (1 floods), total damages: 198962.0 ('000 US$)"
1991,28_66,28,66,1,,Baluchistan,Balochistan,,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,20_100,20,100,1,,Chiang Rai,Mae Salui and surrounding areas ,,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,30_51,30,51,1,,Kohgiluyeh And Buyer Ahmad,Gachsaran,1.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,15_76,15,76,1,,Karnataka,Karnataka,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,6_0,6,0,1,,Eastern,Suhum,2.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,9_126,9,126,1,2587.0,Surigao Del Sur,Tangag ,,2587.0,"In 1991: 1 events (1 floods), total damages: 2587.0 ('000 US$)"
1991,11_14,11,14,1,,Extreme-Nord,Maroua region,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,48_14,48,14,1,163149.0,Oberosterreich,Linz,4.0,163149.0,"In 1991: 1 events (1 floods), total damages: 163149.0 ('000 US$)"
1991,-44_170,-44,170,1,,West Coast,Westland,,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,-31_-57,-31,-57,1,,Artigas,Artigas,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,-41_173,-41,173,1,,Tasman,Tasman,,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,29_34,29,34,1,,Janub Sina',South Sina,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,31_-99,31,-99,2,1691177.0,Texas,Texas,11.5,845588.5,"In 1991: 2 events (2 floods), total damages: 1691177.0 ('000 US$)"
1991,29_53,29,53,2,806591.0,Fars,"Fars, Fars province",14.0,403295.5,"In 1991: 2 events (2 floods), total damages: 806591.0 ('000 US$)"
1991,10_-83,10,-83,1,,Limon,Limon province,9.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,29_-82,29,-82,1,,Florida,Floride,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,-22_-49,-22,-49,1,3979.0,Sao Paulo,Sao Paulo,12.0,3979.0,"In 1991: 1 events (1 floods), total damages: 3979.0 ('000 US$)"
1991,16_80,16,80,1,,Andhra Pradesh,Andhra Pradesh,0.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,37_66,37,66,1,,Jawzjan,Aqcha,7.0,,"In 1991: 1 events (1 floods), total damages: N/A ('000 US$)"
1991,10_76,10,76,1,234775.0,Kerala,Kerala state,38.0,234775.0,"In 1991: 1 events (1 floods), total damages: 234775.0 ('000 US$)"
1991,11_105,11,105,1,76600.0,An Giang,An Giang,6.0,76600.0,"In 1991: 1 events (1 floods), total damages: 76600.0 ('000 US$)"
1991,25_-107,25,-107,1,3979.0,Sinaloa,Sinalda province,0.0,3979.0,"In 1991: 1 events (1 floods), total damages: 3979.0 ('000 US$)"
1991,52_107,52,107,1,43772.0,Buryat,Ulan-Ude,14.0,43772.0,"In 1991: 1 events (1 floods), total damages: 43772.0 ('000 US$)"
1992,53_7,53,7,1,53299.0,Groningen,Groningen,0.0,53299.0,"In 1992: 1 events (1 floods), total damages: 53299.0 ('000 US$)"
1992,-20_-55,-20,-55,1,,Mato Grosso Do Sul,Mato Grosso do Sul,6.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,51_7,51,7,1,58127.0,Nordrhein-Westfalen,Radevormwald,2.0,58127.0,"In 1992: 1 events (1 floods), total damages: 58127.0 ('000 US$)"
1992,-8_112,-8,112,1,,Jawa Timur,Trenggalek ,,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,-14_-73,-14,-73,1,,Apurimac,Grau,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,36_2,36,2,1,1738.0,Ain Defla,and Ain-Defla,8.0,1738.0,"In 1992: 1 events (1 floods), total damages: 1738.0 ('000 US$)"
1992,-31_-57,-31,-57,1,,Artigas,Artigas,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,37_71,37,71,1,,Badakhshan,Faizabad,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,44_9,44,9,1,19311.0,Liguria,Genoa,0.0,19311.0,"In 1992: 1 events (1 floods), total damages: 19311.0 ('000 US$)"
1992,13_80,13,80,1,133248.0,Tamil Nadu,Tamil Nadu,0.0,133248.0,"In 1992: 1 events (1 floods), total damages: 133248.0 ('000 US$)"
1992,18_-66,18,-66,1,386226.0,Cayey,Cayey,3.0,386226.0,"In 1992: 1 events (1 floods), total damages: 386226.0 ('000 US$)"
1992,7_80,7,80,1,482782.0,Colombo,Colombo,3.0,482782.0,"In 1992: 1 events (1 floods), total damages: 482782.0 ('000 US$)"
1992,44_114,44,114,1,212424.0,Nei Mongol,Xiliao He,19.0,212424.0,"In 1992: 1 events (1 floods), total damages: 212424.0 ('000 US$)"
1992,53_83,53,83,1,92887.0,Altay,Altajskij Kraj ,,92887.0,"In 1992: 1 events (1 floods), total damages: 92887.0 ('000 US$)"
1992,-31_-65,-31,-65,1,482782.0,Cordoba,Cruz del Eje,5.0,482782.0,"In 1992: 1 events (1 floods), total damages: 482782.0 ('000 US$)"
1992,6_125,6,125,1,,South Cotabato,Region XI,,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,-21_-59,-21,-59,1,,Alto Paraguay,Alto Paraguay,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,18_106,18,106,1,92115.0,Ha Tinh,Ha Tinh,4.0,92115.0,"In 1992: 1 events (1 floods), total damages: 92115.0 ('000 US$)"
1992,22_-80,22,-80,1,5002.0,Cienfuegos,Cienfuegos,4.0,5002.0,"In 1992: 1 events (1 floods), total damages: 5002.0 ('000 US$)"
1992,24_91,24,91,1,,Chittagong,Brahmambaria,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,18_121,18,121,1,143290.0,Abra,Abra,,143290.0,"In 1992: 1 events (1 floods), total damages: 143290.0 ('000 US$)"
1992,21_92,21,92,1,,Chittagong,Cox's Bazaar,4.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,17_107,17,107,1,,Quang Tri,Quang Tri,3.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,43_20,43,20,1,,Mojkovac,Mojokovac,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,-26_-61,-26,-61,1,502094.0,Chaco,Chaco,92.0,502094.0,"In 1992: 1 events (1 floods), total damages: 502094.0 ('000 US$)"
1992,-17_-61,-17,-61,1,193113.0,Santa Cruz,Santa Cruz,146.0,193113.0,"In 1992: 1 events (1 floods), total damages: 193113.0 ('000 US$)"
1992,26_69,26,69,1,444.0,Sind,Sindh province,26.0,444.0,"In 1992: 1 events (1 floods), total damages: 444.0 ('000 US$)"
1992,43_11,43,11,1,1327265.0,Toscana,Toscane,0.0,1327265.0,"In 1992: 1 events (1 floods), total damages: 1327265.0 ('000 US$)"
1992,-23_-44,-23,-44,1,,Rio De Janeiro,Barra Mansa,1.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,-3_141,-3,141,1,,Sandaun,Green River ,,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,35_69,35,69,1,7725.0,Parwan,Ghorband,,7725.0,"In 1992: 1 events (1 floods), total damages: 7725.0 ('000 US$)"
1992,18_97,18,97,1,106434.0,Bago, Shwegyin,,106434.0,"In 1992: 1 events (1 floods), total damages: 106434.0 ('000 US$)"
1992,9_77,9,77,1,351659.0,Kerala,Vamanapuram,0.0,351659.0,"In 1992: 1 events (1 floods), total damages: 351659.0 ('000 US$)"
1992,-4_-79,-4,-79,1,38623.0,Zamora Chinchipe,Zamora,45.0,38623.0,"In 1992: 1 events (1 floods), total damages: 38623.0 ('000 US$)"
1992,31_103,31,103,1,6566.0,Sichuan,Sichuan province,7.0,6566.0,"In 1992: 1 events (1 floods), total damages: 6566.0 ('000 US$)"
1992,-25_-52,-25,-52,1,,Parana,Parana,92.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,37_128,37,128,1,,Chungcheongbuk-Do,Chungchong Do,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,21_84,21,84,1,,Odisha,Orissa state,5.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,34_74,34,74,1,1931130.0,Azad Kashmir,Azad Kashmir,10.0,1931130.0,"In 1992: 1 events (1 floods), total damages: 1931130.0 ('000 US$)"
1992,33_75,33,75,1,111716.0,Jammu And Kashmir,Jammu,,111716.0,"In 1992: 1 events (1 floods), total damages: 111716.0 ('000 US$)"
1992,42_20,42,20,1,13518.0,Lezhe,Lac,2.0,13518.0,"In 1992: 1 events (1 floods), total damages: 13518.0 ('000 US$)"
1992,37_49,37,49,1,966144.0,Gilan,Gilan,2.0,966144.0,"In 1992: 1 events (1 floods), total damages: 966144.0 ('000 US$)"
1992,43_2,43,2,1,,Occitanie,Aude,0.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,28_112,28,112,2,610237.0,Hunan,"Hunan, Hunan province",29.0,305118.5,"In 1992: 2 events (2 floods), total damages: 610237.0 ('000 US$)"
1992,13_-89,13,-89,1,,La Paz,La Paz,1.0,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,28_116,28,116,1,146766.0,Jiangxi,Jaingxi,15.0,146766.0,"In 1992: 1 events (1 floods), total damages: 146766.0 ('000 US$)"
1992,37_54,37,54,1,5733717.0,Golestan,Gorgan,39.0,5733717.0,"In 1992: 1 events (1 floods), total damages: 5733717.0 ('000 US$)"
1992,22_114,22,114,1,96556.0,Yuen Long,Tsim Sha Tsui ,37.0,96556.0,"In 1992: 1 events (1 floods), total damages: 96556.0 ('000 US$)"
1992,27_107,27,107,2,335437.0,Guizhou,"Guizhou province, Western Guizhou",44.5,167718.5,"In 1992: 2 events (2 floods), total damages: 335437.0 ('000 US$)"
1992,-17_-66,-17,-66,1,193113.0,Tarija,Cochabamba,1.0,193113.0,"In 1992: 1 events (1 floods), total damages: 193113.0 ('000 US$)"
1992,25_82,25,82,1,,Uttar Pradesh, Allahbad,,,"In 1992: 1 events (1 floods), total damages: N/A ('000 US$)"
1992,-12_-42,-12,-42,1,49823.0,Bahia,Bahia,11.0,49823.0,"In 1992: 1 events (1 floods), total damages: 49823.0 ('000 US$)"
1993,52_27,52,27,1,187576.0,Brest,Luninets,18.0,187576.0,"In 1993: 1 events (1 floods), total damages: 187576.0 ('000 US$)"
1993,11_-62,11,-62,1,131.0,Port Of Spain,Port Of Spain,0.0,131.0,"In 1993: 1 events (1 floods), total damages: 131.0 ('000 US$)"
1993,-7_108,-7,108,1,36204.0,Jawa Barat,Northern coast from Indramayu  in West Java to Gresik  in East Java,3.0,36204.0,"In 1993: 1 events (1 floods), total damages: 36204.0 ('000 US$)"
1993,8_100,8,100,2,2965301.0,Nakhon Si Thammarat,"Nakhorn Si Thammara, South",2.5,1482650.5,"In 1993: 2 events (2 floods), total damages: 2965301.0 ('000 US$)"
1993,15_-84,15,-84,1,108044.0,Gracias A Dios,Gracias A Dios,0.0,108044.0,"In 1993: 1 events (1 floods), total damages: 108044.0 ('000 US$)"
1993,23_91,23,91,1,,Chittagong,Feni,18.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,14_-16,14,-16,1,,Kaolack,Kaolack region,,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,29_120,29,120,1,,Zhejiang,Zhejiang province,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,-7_106,-7,106,1,,Banten,Lebak,1.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,20_35,20,35,1,375.0,Red Sea,Port Sudan,0.0,375.0,"In 1993: 1 events (1 floods), total damages: 375.0 ('000 US$)"
1993,34_-112,34,-112,1,187576.0,Arizona,Arizona,14.0,187576.0,"In 1993: 1 events (1 floods), total damages: 187576.0 ('000 US$)"
1993,23_92,23,92,1,,Chittagong,Chittagong,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,11_125,11,125,1,,Leyte,Leyte province,2.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,5_102,5,102,1,,Kelantan,Kelantan,5.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,-29_31,-29,31,1,,KwaZulu-Natal,Northern Natal province,2.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,9_-10,9,-10,1,,Nzerekore,Gueckedou,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,33_52,33,52,1,1875764.0,Esfahan,Isfahan,19.0,1875764.0,"In 1993: 1 events (1 floods), total damages: 1875764.0 ('000 US$)"
1993,27_81,27,81,1,937882.0,Uttar Pradesh,Uttar Pradesh,8.0,937882.0,"In 1993: 1 events (1 floods), total damages: 937882.0 ('000 US$)"
1993,60_60,60,60,1,63776.0,Sverdlovsk,Krasnotyurinsk,4.0,63776.0,"In 1993: 1 events (1 floods), total damages: 63776.0 ('000 US$)"
1993,28_84,28,84,1,375153.0,Central,Chitawan,0.0,375153.0,"In 1993: 1 events (1 floods), total damages: 375153.0 ('000 US$)"
1993,33_119,33,119,1,50646.0,Jiangsu,Mount Emei,5.0,50646.0,"In 1993: 1 events (1 floods), total damages: 50646.0 ('000 US$)"
1993,36_1,36,1,1,,Chlef,Chlef,1.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,53_-72,53,-72,1,,Quebec,Quebec province,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,32_77,32,77,1,,Himachal Pradesh,Himachal Pradesh,,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,57_-4,57,-4,1,69403.0,Scotland,Perth And Kinross,0.0,69403.0,"In 1993: 1 events (1 floods), total damages: 69403.0 ('000 US$)"
1993,37_49,37,49,1,32451.0,Gilan,Bandar-E-Anzali,0.0,32451.0,"In 1993: 1 events (1 floods), total damages: 32451.0 ('000 US$)"
1993,-2_-71,-2,-71,1,,Amazonas,Amazonas,5.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,11_108,11,108,1,18758.0,Binh Thuan,Binh Thuan,10.0,18758.0,"In 1993: 1 events (1 floods), total damages: 18758.0 ('000 US$)"
1993,33_130,33,130,1,,Naoasaki,Shimabara,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,20_-75,20,-75,1,262607.0,Guantanamo,Guantanamo,4.0,262607.0,"In 1993: 1 events (1 floods), total damages: 262607.0 ('000 US$)"
1993,52_6,52,6,1,99415.0,Gelderland,Gelderland,10.0,99415.0,"In 1993: 1 events (1 floods), total damages: 99415.0 ('000 US$)"
1993,53_-6,53,-6,1,71279.0,Dublin,Dublin,0.0,71279.0,"In 1993: 1 events (1 floods), total damages: 71279.0 ('000 US$)"
1993,20_-99,20,-99,1,,Hidalgo,Hidalgo,6.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,40_-83,40,-83,1,,Ohio, Ohio,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,-5_-78,-5,-78,1,,Amazonas,Amazonas,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,26_93,26,93,1,13130346.0,Assam,Assam ,23.0,13130346.0,"In 1993: 1 events (1 floods), total damages: 13130346.0 ('000 US$)"
1993,18_-77,18,-77,1,20633.0,Clarendon,Clarendon,0.0,20633.0,"In 1993: 1 events (1 floods), total damages: 20633.0 ('000 US$)"
1993,22_92,22,92,1,,Chittagong,Bandarban,61.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,27_56,27,56,1,392035.0,Hormozgan,Bandar Abbas,7.0,392035.0,"In 1993: 1 events (1 floods), total damages: 392035.0 ('000 US$)"
1993,-34_-71,-34,-71,1,63776.0,Libertador General Bernardo O'Higgins,Codegua,0.0,63776.0,"In 1993: 1 events (1 floods), total damages: 63776.0 ('000 US$)"
1993,-5_38,-5,38,2,6584.0,Tanga,"Korogwe, Korogwe District",0.0,3292.0,"In 1993: 2 events (2 floods), total damages: 6584.0 ('000 US$)"
1993,12_43,12,43,1,,Djibouti,Djibouti City,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,31_74,31,74,1,,Punjab,Kasur,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,15_76,15,76,1,,Karnataka,Karnataka state,10.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,8_81,8,81,1,,Anuradhapura,Anuradhapura,12.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,30_-115,30,-115,1,178948.0,Baja California,Ensenada,14.0,178948.0,"In 1993: 1 events (1 floods), total damages: 178948.0 ('000 US$)"
1993,-36_-58,-36,-58,1,750305.0,Buenos Aires,Castelli,4.0,750305.0,"In 1993: 1 events (1 floods), total damages: 750305.0 ('000 US$)"
1993,8_126,8,126,1,69403.0,Davao Del Norte,Davao del Norte,4.0,69403.0,"In 1993: 1 events (1 floods), total damages: 69403.0 ('000 US$)"
1993,-37_-61,-37,-61,1,1125458.0,Buenos Aires,Buenos Aires province,,1125458.0,"In 1993: 1 events (1 floods), total damages: 1125458.0 ('000 US$)"
1993,47_-120,47,-120,1,,Washington,Washington,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,48_24,48,24,1,298246.0,Transcarpathia,Tyachiv,4.0,298246.0,"In 1993: 1 events (1 floods), total damages: 298246.0 ('000 US$)"
1993,47_52,47,52,1,68525.0,Atyrau,Atyrauskaya region,9.0,68525.0,"In 1993: 1 events (1 floods), total damages: 68525.0 ('000 US$)"
1993,49_9,49,9,1,31888.0,Baden-Wurttemberg,Baden-Wuerttemberg,11.0,31888.0,"In 1993: 1 events (1 floods), total damages: 31888.0 ('000 US$)"
1993,16_-87,16,-87,1,106356.0,Atlantida,Atlantida,3.0,106356.0,"In 1993: 1 events (1 floods), total damages: 106356.0 ('000 US$)"
1993,38_-83,38,-83,1,,Nebraska,Boyd,5.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,10_-83,10,-83,1,,Limon,Matina,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,50_5,50,5,1,,Wallonie,South Wallonia,0.0,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,40_-89,40,-89,1,22509164.0,Illinois,Illinois,60.0,22509164.0,"In 1993: 1 events (1 floods), total damages: 22509164.0 ('000 US$)"
1993,25_92,25,92,1,,Assam, Karamganj ,,,"In 1993: 1 events (1 floods), total damages: N/A ('000 US$)"
1993,7_80,7,80,1,581.0,Colombo,Colombo,10.0,581.0,"In 1993: 1 events (1 floods), total damages: 581.0 ('000 US$)"
1993,-6_155,-6,155,1,4689.0,Bougainville,Bougainville Island,0.0,4689.0,"In 1993: 1 events (1 floods), total damages: 4689.0 ('000 US$)"
1993,-32_147,-32,147,1,8629.0,New South Wales,New South Wales,12.0,8629.0,"In 1993: 1 events (1 floods), total damages: 8629.0 ('000 US$)"
1993,51_26,51,26,1,150061.0,Rivne,Rovno,18.0,150061.0,"In 1993: 1 events (1 floods), total damages: 150061.0 ('000 US$)"
1993,-31_-61,-31,-61,1,172570.0,Santa Fe, Sante Fe provinces,,172570.0,"In 1993: 1 events (1 floods), total damages: 172570.0 ('000 US$)"
1993,16_122,16,122,1,4877.0,Aurora,III,0.0,4877.0,"In 1993: 1 events (1 floods), total damages: 4877.0 ('000 US$)"
1993,14_46,14,46,1,2814.0,Abyan,Abyan,5.0,2814.0,"In 1993: 1 events (1 floods), total damages: 2814.0 ('000 US$)"
1994,46_28,46,28,1,548429.0,Cantemir,Cantemir,5.0,548429.0,"In 1994: 1 events (1 floods), total damages: 548429.0 ('000 US$)"
1994,11_43,11,43,1,3874.0,Ali Sabieh,Holhol,0.0,3874.0,"In 1994: 1 events (1 floods), total damages: 3874.0 ('000 US$)"
1994,15_121,15,121,1,3016.0,Pampanga,Pampanga,0.0,3016.0,"In 1994: 1 events (1 floods), total damages: 3016.0 ('000 US$)"
1994,29_-95,29,-95,1,1279668.0,Texas,Galveston,6.0,1279668.0,"In 1994: 1 events (1 floods), total damages: 1279668.0 ('000 US$)"
1994,4_44,4,44,1,,Bakool,Bakool,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,38_73,38,73,1,,Gorno-Badakhshan,Borno Badakhshan,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,-1_16,-1,16,1,,Cuvette,Cuvette region,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,28_112,28,112,2,13290266.0,Hunan,Hunan,17.0,6645133.0,"In 1994: 2 events (2 floods), total damages: 13290266.0 ('000 US$)"
1994,10_-84,10,-84,1,5484.0,Cartago,La Union,0.0,5484.0,"In 1994: 1 events (1 floods), total damages: 5484.0 ('000 US$)"
1994,25_92,25,92,1,,Sylhet,Sylhet district,2.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,44_8,44,8,1,17001302.0,Piemonte,Cuneo,9.0,17001302.0,"In 1994: 1 events (1 floods), total damages: 17001302.0 ('000 US$)"
1994,16_-15,16,-15,1,,Saint-Louis,Saint-Louis region,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,25_101,25,101,1,22120.0,Yunnan,Yunnan,0.0,22120.0,"In 1994: 1 events (1 floods), total damages: 22120.0 ('000 US$)"
1994,3_-76,3,-76,1,,Huila,De Huila Department,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,56_-4,56,-4,1,266902.0,Scotland,Glasgow,5.0,266902.0,"In 1994: 1 events (1 floods), total damages: 266902.0 ('000 US$)"
1994,22_90,22,90,1,,Barisal,Barisal district and Southern Bangladesh,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,5_8,5,8,1,121568.0,Abia,Abia,4.0,121568.0,"In 1994: 1 events (1 floods), total damages: 121568.0 ('000 US$)"
1994,-12_-77,-12,-77,1,,Callao, Callo,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,25_88,25,88,1,,Rajshahi,Chapainawabganj,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,26_118,26,118,2,467993.0,Fujian," Fujian, Fujian",4.5,233996.5,"In 1994: 2 events (2 floods), total damages: 467993.0 ('000 US$)"
1994,5_-74,5,-74,1,,Cundinamarca,Bogota,2.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,-3_29,-3,29,1,,Sud-Kivu,Bukavu,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,-9_39,-9,39,1,,Lindi,Kilwa district,4.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,14_2,14,2,1,,Tillabery, Tillabery,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,9_81,9,81,1,,Trincomalee,Trincomalee,1.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,11_105,11,105,1,376588.0,An Giang,An Giang,105.0,376588.0,"In 1994: 1 events (1 floods), total damages: 376588.0 ('000 US$)"
1994,49_9,49,9,1,353737.0,Baden-Wurttemberg,Baden-Wuerttemberg,0.0,353737.0,"In 1994: 1 events (1 floods), total damages: 353737.0 ('000 US$)"
1994,16_-86,16,-86,1,,Colon, Colon departments,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,36_5,36,5,1,,Bordj Bou Arreridj,Bodj-Bou-Arreridj,5.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,47_47,47,47,1,,Astrakhan',Volga delta,5.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,4_-77,4,-77,1,,Valle Del Cauca,Valle de Caucu Department,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,14_-91,14,-91,1,,Suchitepequez,Suchitepequez province,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,12_3,12,3,1,,Alibori, Malanville counties ,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,-9_118,-9,118,1,3108.0,Nusa Tenggara Barat,West Nusa Tengarra province,0.0,3108.0,"In 1994: 1 events (1 floods), total damages: 3108.0 ('000 US$)"
1994,10_-68,10,-68,1,,Distrito Capital,Caracas,0.0,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,7_125,7,125,1,68.0,Davao Del Sur,Davao,0.0,68.0,"In 1994: 1 events (1 floods), total damages: 68.0 ('000 US$)"
1994,36_52,36,52,1,,Mazandaran, Mazandaran,,,"In 1994: 1 events (1 floods), total damages: N/A ('000 US$)"
1994,-2_101,-2,101,1,2742.0,Sumatera Barat,Pesisir Selaten,0.0,2742.0,"In 1994: 1 events (1 floods), total damages: 2742.0 ('000 US$)"
1994,-14_-73,-14,-73,1,91405.0,Apurimac,Apurimac,4.0,91405.0,"In 1994: 1 events (1 floods), total damages: 91405.0 ('000 US$)"
1994,44_126,44,126,1,1828.0,Jilin,Jilin,21.0,1828.0,"In 1994: 1 events (1 floods), total damages: 1828.0 ('000 US$)"
